target,revenue_scale,hq,product_offering,revenue_model,room_for_improvement,predictable_earnings,owner_willingness_to_sell,valuation_level,ai_pressure,status,irr,walk_away_price,source,note
# Backing dataset for the `Target` object. Columns = its ontology properties, 1:1: the nine screen-target gates + the three pipeline-state properties written by the actions (screen → status; underwrite → irr, walk_away_price), + provenance (source, note).
# Rows = recently-acquired businesses profiled AT ACQUISITION → status = closed. Per-target underwriting figures (irr, walk-away price) are not disclosed in the filings → n.d. Per-target pre-acquisition figures are largely undisclosed → [inferred] where the filing does not state it directly.
AOL,,North America,email/news/search (consumer),advertising + subscription,high [inferred],[inferred],"high — parent divesting (Apollo affiliate, ex-Verizon Media)",[inferred],[inferred],closed,n.d.,n.d.,bsp-f1,"carve-out closed 2 Jan 2026 (~L950); seller lineage ~L5485-5486; consideration $1,454M (~L216)"
Vimeo,,North America,video hosting/creation,subscription,medium-high [inferred],[inferred],high — public shareholders (Nasdaq),compressed public valuation [inferred],[inferred],closed,n.d.,n.d.,bsp-f1,"completed 24 Nov 2025 (~L213); $1,359M (~L3114); 'take-private' framing press-only"
Eventbrite,,North America,event ticketing,transaction + subscription,high [inferred],[inferred],high — public shareholders (NYSE),[inferred],[inferred],closed,n.d.,n.d.,bsp-424b4,"closed 10 Mar 2026; $505M; PPA goodwill $293.3M / customer base $223.0M / IP $29.1M / trademark $47.8M"
Brightcove,,North America,enterprise video (B2B),sales-led subscription,high [inferred],[inferred],high — public shareholders (Nasdaq),[inferred],[inferred],closed,n.d.,n.d.,bsp-f1,"acquired 4 Feb 2025 (~L4978)"
Evernote,,North America,productivity / notes (consumer),freemium subscription,high — monetization headroom,strong — NRR ~99% post (~L408),private — prior owner,[inferred],[inferred],closed,n.d.,n.d.,bsp-f1,"acquired Jan 2023 (~L2701)"
komoot,,Europe,outdoor route planning (consumer),subscription,medium [inferred],[inferred],founder / private,[inferred],[inferred],closed,n.d.,n.d.,bsp-f1,"acquired Mar 2025 (~L388)"
# The un-acquired universe (>1,000 businesses, ~$400B aggregate 2025 revenue, ~L177/L318) is sized by band in market-of-targets.md
# (347 @ $50-100M, 476 @ $100-500M, 114 @ $500M-1B, 94 @ $1-5B, ~L450); individual names are not disclosed in the filing.
